"Prioridade","Arquivo","Linhas","Tamanho"
"BAIXA","api\cron\whatsapp-notifications.js","84","3"
"BAIXA","api\edge-cache.js","59","1,9"
"BAIXA","api\whatsapp.js","144","4,9"
"MÉDIA","components\communication\index.js","24","1,2"
"MÉDIA","components\medical-records\index.js","13","0,7"
"MÉDIA","components\patient\bodyPaths.js","26","1,1"
"ALTA","contexts\ExerciseContext.jsx","813","30,1"
"ALTA","contexts\PatientContext.jsx","883","31,5"
"BAIXA","data\clinicalData.js","8","0,3"
"BAIXA","data\mockClinicalMaterials.js","39","1,5"
"BAIXA","data\mockData.js","1234","88,2"
"MÉDIA","data\mockExerciseLibrary.js","209","11,3"
"BAIXA","data\mockMentoriaData.js","762","30,9"
"BAIXA","data\mockProtocolsData.js","884","35,4"
"BAIXA","data\mockSpecialtyAssessments.js","22","0,7"
"BAIXA","design-system\tokens.js","401","12"
"ALTA","hooks\supabase\useSupabaseAppointments.js","298","10,8"
"ALTA","hooks\supabase\useSupabaseAuth.js","207","6,8"
"ALTA","hooks\supabase\useSupabasePatients.js","186","6,3"
"ALTA","hooks\useAITools.js","92","3,5"
"ALTA","hooks\useAlerts.js","432","14,8"
"ALTA","hooks\useAppointments.js","104","4,1"
"ALTA","hooks\useAssessmentSpecialties.js","16","0,6"
"ALTA","hooks\useAuditLogs.js","49","1,9"
"ALTA","hooks\useBackup.js","214","7,4"
"ALTA","hooks\useBodyMap.js","116","4,2"
"ALTA","hooks\useBodyMapPro.js","177","5,8"
"ALTA","hooks\useClinicalAnalytics.js","56","2,9"
"ALTA","hooks\useDashboardStats.js","62","2,8"
"ALTA","hooks\useDebounce.js","20","0,8"
"ALTA","hooks\useDebounceOptimized.js","156","5,1"
"ALTA","hooks\useErrorHandler.js","119","4,3"
"ALTA","hooks\useExerciseLibrary.js","30","1,2"
"ALTA","hooks\useExercises.js","226","8,7"
"ALTA","hooks\useFamilyPortal.js","166","5,8"
"ALTA","hooks\useFinancialData.js","86","4,1"
"ALTA","hooks\useGamification.js","31","1,1"
"ALTA","hooks\useGeriatricCare.js","101","3,4"
"ALTA","hooks\useInventory.js","341","11,4"
